TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_SIZE,Cluster
0,1,0,0,1
5,18,1,87,1
0,1,0,0,1
0,2,0,0,1
2,1,1,4,1
1,1,0,0,1
0,1,0,0,1
1,2,148,4736,1
2,8,2,100,1
1,1,0,0,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
27,2,0,1,1
0,1,0,0,1
0,2,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,16,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
27,3,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
1,2,0,0,1
0,1,0,0,1
1,4,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,1,0,0,1
1,1,23,644,1
0,1,0,0,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
1,1,408,8160,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,24,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
23,2,0,1,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
2,2,102161,4903728,5
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
3,1,1214,34001,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,24,1
1,1,0,0,1
132,77,150,48106,1
0,1,0,0,1
6,2,0,4,1
0,1,0,0,1
1,1,297096,45764248,4
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,7,2302,110472,1
4,1,0,2,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,4,0,0,1
0,2,0,0,1
1,1,3808,76160,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,28,1
1,1,3809,76180,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,2,0,0,1
6,15,1,37,1
47,1,0,2,1
4,4,5663,740779,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,16,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,58,916,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
6,12,0,0,1
0,1,0,0,1
2,2,1,12,1
2,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,16,1
1,1,1568,31360,1
0,2,0,0,1
1,1,570,11400,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,12,2388,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,4,1,24,1
0,1,0,0,1
2,6,7289,116616,1
0,1,0,0,1
1,1,1,88,1
146,6,1,12,1
19,12,4,299,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,2,0,0,1
211,3,78484,20404079,3
0,2,0,0,1
2,1,1,4,1
2,1,1,4,1
1,1,1,8,1
0,1,0,0,1
12,1,129687,27700231,2
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,2,0,0,1
0,2,0,0,1
1,1,27,552,1
0,1,0,0,1
0,1,0,0,1
